file	avg_base_quality
01_06_25_ENCDEC30_R1__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01_06_25_ENCJAN01_R1__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01_06_25_ENCJAN02_R2__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01_06_25_PLDEC29_R1__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	38.9
01_06_25_PLDEC31_R2__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01_06_25_PLJAN01_R1__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01_06_25_SBDEC31_R1__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01_06_25_SBJAN05_R2__E0000000__X00__250205_01-06-25_WW__001.trimmed.sorted.bam	39.0
01.08.24.ENCDEC29.R2__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.2
01.08.24.ENCJAN05.R1__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.1
01.08.24.PLDEC31.R1__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.1
01.08.24.PLJAN01.R1__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.1
01.08.24.PLJAN02.R2__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.2
01.08.24.PLJAN03.R2__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.1
01.08.24.SBJAN04.R1__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.2
01.08.24.SBJAN07.R1__NA__NA__240112_WW__00X.trimmed.sorted.unfiltered.bam	23.3
01.22.24.ENCJAN16.R2__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.22.24.ENCJAN17.R2__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.22.24.PLJAN14.R1__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.9
01.22.24.PLJAN15.R2__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.22.24.PLJAN16.R1__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.22.24.PLJAN17.R1__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.9
01.22.24.SBJAN16.R1__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.8
01.22.24.SBJAN18.R1__NA__NA__240126_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.30.24.ENCJAN25.R2__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.5
01.30.24.ENCJAN26.R1__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.5
01.30.24.PLJAN21.R1__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.30.24.PLJAN22.R2__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.6
01.30.24.PLJAN23.R2__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.7
01.30.24.PLJAN24.R1__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.5
01.30.24.SBJAN25.R1__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.6
01.30.24.SBJAN28.R2__NA__NA__240202_WW__00X.trimmed.sorted.unfiltered.bam	23.5
02.05.24.ENCJAN30.R1__NA__NA__240209_WW__00X.trimmed.sorted.unfiltered.bam	23.3
02.05.24.ENCJAN31.R2__NA__NA__240209_WW__00X.trimmed.sorted.unfiltered.bam	23.2
02.05.24.PLJAN28.R2__NA__NA__240209_WW__00X.trimmed.sorted.unfiltered.bam	23.3
02.05.24.PLJAN29.R1__NA__NA__240209_WW__00X.trimmed.sorted.unfiltered.bam	23.2
02.05.24.PLJAN30.R1__NA__NA__240209_WW__00X.trimmed.sorted.unfiltered.bam	23.2
02.05.24.PLJAN31.R2__NA__NA__240209_WW__00X.trimmed.sorted.unfiltered.bam	23.3
