week	MedianCoverage
2022-12-26	10763.0
2023-01-02	8396.625
2023-01-09	7821.388888888889
2023-01-16	6536.25
2023-01-23	11290.944444444445
2023-01-30	5564.75
2023-02-06	1833.25
2023-02-13	568.5833333333334
2023-02-20	1728.1666666666667
2023-02-27	4491.055555555556
2023-03-06	4631.285714285715
2023-03-13	3738.05
2023-03-20	3227.285714285714
2023-03-27	5431.1
2023-04-03	5609.071428571428
2023-04-10	4631.833333333333
2023-04-17	2273.5625
2023-04-24	3486.125
2023-05-01	5415.375
2023-05-08	5514.222222222223
2023-05-15	6041.571428571428
2023-05-22	4095.1875
2023-05-29	3129.4375
2023-06-05	1.2
2023-06-12	683.8
2023-06-19	1398.8333333333333
2023-06-26	3986.785714285714
2023-07-03	4435.277777777777
2023-07-10	5843.625
2023-07-17	4935.6875
2023-07-24	8773.625
2023-07-31	2518.5
2023-08-07	3909.1
2023-08-14	9752.5
2023-08-21	8791.6875
2023-08-28	7695.75
2023-09-04	8670.125
2023-09-11	6994.6875
2023-09-18	7692.333333333333
2023-09-25	4727.625
2023-10-02	4759.3125
2023-10-09	5645.928571428572
2023-10-16	4680.055555555556
2023-10-23	4764.75
2023-10-30	3844.6428571428573
2023-11-06	5995.714285714285
2023-11-13	6606.0
2023-11-20	4315.0625
2023-11-27	6170.9
2023-12-04	6446.125
2023-12-11	4963.444444444444
2023-12-18	5035.678571428572
2023-12-25	6932.125
2024-01-01	5392.5
2024-01-08	8560.0
2024-01-15	9235.25
2024-01-22	9211.0625
2024-01-29	8232.1875
2024-02-05	7426.875
2024-02-12	8580.57142857143
2024-02-19	6736.555555555556
2024-02-26	234.875
2024-03-04	1228.0
2024-03-11	4568.0
2024-03-18	408.0625
2024-03-25	2730.625
2024-04-01	2323.6666666666665
2024-04-08	1133.1666666666667
2024-04-15	1146.4375
2024-04-22	338.125
2024-04-29	347.125
2024-05-06	353.5
2024-05-13	1054.6
2024-05-20	1641.357142857143
2024-05-27	2843.5555555555557
2024-06-03	6275.6875
2024-06-10	2478.4375
2024-06-17	3065.125
2024-06-24	4000.125
2024-07-01	4561.9375
2024-07-08	1386.375
2024-07-15	6717.125
2024-07-22	491.25
2024-07-29	6662.375
2024-08-05	2318.5
2024-08-12	3110.5
2024-08-19	1588.0
2024-08-26	875.5555555555555
2024-09-02	519.125
2024-09-09	103.71428571428571
2024-09-16	1841.1875
2024-09-23	207.55555555555554
2024-09-30	117.5
2024-10-07	144.0
2024-10-14	91.05263157894737
2024-10-21	83.0
2024-10-28	247.4090909090909
2024-11-04	299.9375
2024-11-11	580.59375
2024-11-18	801.625
2024-11-25	949.875
2024-12-02	380.75
2024-12-09	584.5714285714286
2024-12-23	484.0
2024-12-30	871.0
